Year,NDWI
1999,-0.05953353517844729
2000,-0.06540897534664729
2001,-0.06349891000180023
2002,-0.057568344908599724
2003,-0.08888881922842971
2004,-0.06529356499267498
2005,-0.07524315390728702
2006,-0.07886164117406941
2007,-0.07307788228785472
2008,-0.0711464548641157
2009,-0.08691727544960144
2010,-0.07113879673080595
2011,-0.08308252362247685
2012,-0.06538461771572267
2013,-0.07144766688292434
2014,-0.08098725642282512
2015,-0.06342121266585324
2016,-0.07503522562121567
2017,-0.07339543952149054
2018,-0.0713201653178612
2019,-0.06930662981013085
2020,-0.061491420473111666
2021,-0.0692980330182956
