Year,NDVI
1999,0.05615888725916831
2000,0.0620347357258285
2001,0.060306041234656535
2002,0.05639157467515133
2003,0.06567473117695297
2004,0.0688779958266109
2005,0.062061296924791856
2006,0.06299706480023302
2007,0.07564594899888978
2008,0.06297533959099792
2009,0.07272184851260913
2010,0.08647223391811644
2011,0.07279630866030999
2012,0.0639467836655001
2013,0.08054699575691406
2014,0.06981559012623403
2015,0.05980941230746242
2016,0.05493255826988979
2017,0.06787334079761083
2018,0.07472372515848856
2019,0.07885580359378924
2020,0.07862972893602303
2021,0.07274013730292467
